Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
100-organic-argan-oil,100% Organic Argan Oil,"<p><strong>Shea &#8220;All Naturals&#8221; </strong>Argan Oil is vegan, cold-pressed, non-GMO, and organic. Naturally rich in antioxidants especially Vitamin E (twice as Olive oil), essential fatty acids- especially Omega 6 and carotenes, our certified organic Moroccan Argan oil absorbs easily and is non-greasy. You will find Moroccans slathering this oil on their skin, hair, nails, and their babies for a full-body pampering experience.</p>
<p><b>Purpose:</b></p>
<ol>
<li>To ease dry skin, hair and scalp, acne, psoriasis, eczema, and other dermatitis;</li>
<li>Contains saponins and phytosterols- as such it supports skin regeneration and restores the skin’s water lipid layer thereby minimizing the appearance of wrinkles, and softening cuticles, hands, and feet skin;</li>
<li>Due to its anti-aging properties, it improves skin elasticity;</li>
<li>Due to its softening properties, it provides the benefits of a hair conditioner.</li>
</ol>
<p><strong>Skin Conditions:</strong> Normal, Dry, extremely dry, scaly, flaky, chapped, eczema, symptoms of psoriasis, etc.</p>
<p><strong>Hair Types:</strong> All hair types and textures (curly, wave, kinky, natural, chemically-treated, and colored).</p>
<p><strong>Hair Conditions:</strong> Dry, damaged, brittle, breaking, split ends, healthy</p>
<p><strong>Texture: </strong>Liquid oil</p>
<p><strong>Aroma: </strong>Unscented</p>
<p><strong>What it does not contain:</strong> Parabens, Hexanes, harmful preservatives, fragrances</p>
<p><strong>The Direction For Use:</strong></p>
<p><strong>Daily Hair Care- </strong>Argan oil is proven to make hair softer and silkier. It could be used on its own or added to your favorite hair conditioner or hairdresser. You may apply to wet or dry hair.</p>
<p><strong>Daily Skin Care-</strong> Wash with our Shea Butter Body Wash or any of our bars. Pat skin dry and apply liberally all over the skin. You may also mix with other oils or lotion before applying it to the skin. For <strong>face care,</strong> we recommend applying a few drops to your face and neck both day and night time using gentle rubbing motions.</p>
<p><strong>Ingredient:</strong> 100% Organic Argan oil</p>
<p>&nbsp;</p>",All Naturals Cosmetics,Bulk- Face Care,"Bulk- Face Care, Bulk-Bath & Body, Bulk-Hair / Scalp / Twist and Lock, Raw Materials, Spas & Salons",true,Size,Gallon,,,,,,,deny,manual,360.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/100-Organic-Argan-Oil1.png,1,100% Organic Argan Oil,active
100-organic-argan-oil,,,,,,,,28kg,,,,,,,deny,manual,2016.00,,true,true,,,,
argan-oil-hair-locks-butter-2,Argan oil Hair & Locks Butter,"<p>A hair and locks grooming butter with no petrolatum! Our hair balm is excellent for:</p>
<ol>
<li>Keeping away frizz;</li>
<li>Twisting and locking hair &amp; root;</li>
<li>Grooming curly, hard to tame, and mixed-breed hair type;</li>
<li>Conditioning hair.</li>
</ol>
<p><strong>The Direction for Use: </strong>You may apply to wet or dry hair and scalp. Comb hair, twist or lock as appropriate.</p>
<p><strong>Ingredients: </strong>De-ionized water, Theobroma Cacao (Cocoa) Seed Butter,  Argania Spinsosa (Argan) Oil  Simmondsia Chinesis (Jojoba) Seed oil, Ricinus Communis (Castor) oil, Butyrospermum Parkii (Shea Butter), Vegetable Glycerin,<strong> </strong>Vitis Vinifera Grapeseed Oil, Glyceryl Mono Stearate, Camellia Sinensis (Japanese Green Tea) Leaf Extract, Vitamin B, Allantoin, Tocopherol (Vitamin E), Ascorbic Acid (Vitamin C), Stearic Acid, Potassium Sorbate, Natural Beeswax (Cera Alba),  Emulsifying Wax NF, Essential Oil (Butterscotch)</p>",All Naturals Cosmetics,"Bulk-Hair, Scalp, Twist and Lock","Bulk-Hair / Scalp / Twist and Lock, Spas & Salons",true,Size,50lbs,,,,,,,deny,manual,250.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/Argan-oil-Hair-Locks-Butter.png,1,Argan oil Hair & Locks Butter,active
argan-oil-hair-locks-butter-2,,,,,,,,25lbs,,,,,,,deny,manual,150.00,,true,true,,,,
argan-oil-hair-locks-butter-2,,,,,,,,8.8lbs,,,,,,,deny,manual,85.00,,true,true,,,,
hair-style-finishing-spray,Hair Style Finishing Spray,"<p>Our hair spray does not contain drying alcohols and harsh chemicals but:</p>
<ol>
<li>Provides sheen and amazing conditioning to human hair, synthetic braids &amp; weaves;</li>
<li>Moisturizes most hair textures.</li>
</ol>
<p><strong>The Direction for Use: </strong>Place in a spray-able bottle and hold bottle 8 to 10 inches away from hair. Spray in a sweeping motion covering entire head evenly. Brush, comb or style hair as desired for a beautiful sheen</p>
<p><strong>Ingredients: </strong>Grape Seed oil, Tritium Vulgare (Wheat) Germ oil, Daucus Carota Sativa (Carrot) Seed oil, Mineral oil, Cyclomethicone, Tocopherol (Vitamin E), Fragrance/Aroma</p>
<p><strong>Size</strong>: 8oz/255ml</p>
<p><strong><em>Note this product has mineral oil at 2%</em></strong></p>",All Naturals Cosmetics,"Bulk-Hair, Scalp, Twist and Lock","Bulk-Hair / Scalp / Twist and Lock, Spas & Salons",true,Size,50lbs,,,,,,,deny,manual,350.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/hair-style-finishing-spray_gal.jpg,1,Hair Style Finishing Spray,active
hair-style-finishing-spray,,,,,,,,25lbs,,,,,,,deny,manual,225.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/bulk-hair-scalp-twist-and-lock/Hair-Style-Finishing-Spray_50.jpg,2,Hair Style Finishing Spray,
hair-style-finishing-spray,,,,,,,,Gallon,,,,,,,deny,manual,125.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/bulk-hair-scalp-twist-and-lock/Hair-Style-Finishing-Spray_25.jpg,3,Hair Style Finishing Spray,
hair-moisturizing-lotion,Hair Moisturizing Lotion,"<p>Our hair lotion is free of additives and moisturizes most hair types. It …</p>
<ol>
<li>Locks moisture and hydrates hair strands</li>
<li>Is excellent for coarse and hard-to-manage hair types;</li>
<li>Is amazing for both natural and chemically treated hair;</li>
<li>Adds luster and manageability to hair;</li>
<li>Eliminates dryness and frizzing;</li>
<li>Contains No Petrolatum and pore blockers;</li>
<li>Minimizes breakage and split ends.</li>
</ol>
<p><strong>The Direction for Use:<br />
Normal Hair Care</strong>: Apply to clean dry hair from root to tip and comb through. Style as desired<br />
<strong>Coarse and Hard-to-Manage Hair Care</strong>: Apply to clean almost but not fully dry hair, from root to tip. Finish drying and style as desired. Use as often as needed/desired.</p>
<p><strong>Ingredients: </strong>Water , Glycerin, Cetyl Alcohol (Coconut derived), Sterikonium Chloride, Dimethicone, Butyrospermum Parkii(Shea Butter),</p>
<p><strong>Size:</strong> 8oz/255ml</p>",All Naturals Cosmetics,"Bulk-Hair, Scalp, Twist and Lock","Bulk-Hair / Scalp / Twist and Lock, Spas & Salons",true,Size,50lbs,,,,,,,deny,manual,195.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/hair-moisturizing-lotion_25.jpg,1,Hair Moisturizing Lotion,active
hair-moisturizing-lotion,,,,,,,,25lbs,,,,,,,deny,manual,145.00,,true,true,https://allnaturalscosmetics.com/wp-content/uploads/bulk-hair-scalp-twist-and-lock/Hair-Moisturizing-Lotion_50.jpg,2,Hair Moisturizing Lotion,
